Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,278.79 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121006200
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHER TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,111.41 ",2011,9/1/2017,101,13121006200
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$559.63 ,2018,8/1/2021,100,13121004200
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$5,739.96 ","20,102,011",10/1/2016,101,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$623.73 ,2016,9/1/2020,100,13121008302
,"$2,220.20 ","20,092,010",3/1/2016,210,13121008400
,"$2,272.56 ","20,092,010",9/1/2016,210,13121008400
,"$2,217.37 ","20,092,010",3/1/2016,210,13121008400
,"$16,197.40 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,052.86 ","20,172,018",4/1/2021,100,13121008302
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$809.64 ,"20,172,018",9/1/2020,100,13121008302
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$7,483.49 ","200,920,102,011",12/1/2015,101,13121008302
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$7,602.51 ","200,920,102,011",2/1/2016,101,13121008302
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,126.43 ","2,013,201,420,152,010",3/1/2018,101,13121008302
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,056.81 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121008302
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$2,681.75 ","20,142,015",10/1/2016,101,13121008302
,"$31,298.83 ","20,092,010",2/1/2016,300,13121008400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,450.75 ",2014,2/1/2021,101,13121008302
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$556.96 ,2018,8/1/2021,100,13121008302
"InVesta Services of GA as custodian for  Granite Tax, LLC","$1,127.44 ",2012,11/1/2015,101,13121008302
"United Tax & Realty, LLC  C/O CLARK LAW G","$3,745.75 ","201,420,152,016,201,000,000,000",12/1/2021,100,13121008302
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,937.36 ","20,172,018",2/1/2020,107,13121008302
,"$19,812.37 ","201,520,162,017,201,000,000,000",11/1/2021,300,13121008302
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$733.98 ,2014,12/1/2019,300,13121008302
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$861.31 ,"20,172,018",9/1/2020,100,13121008302
,"$12,249.71 ","201,020,112,012",11/1/2017,101,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$561.56 ,2018,5/1/2021,100,13121008302
,"$8,133.04 ","20,112,012",4/1/2018,101,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$860.36 ,2016,4/1/2021,100,13121008302
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,293.23 ",2014,10/1/2020,101,13121008302
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$8,424.96 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,101,13121008400
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$101,046.86 ","201,620,172,018,201,000,000,000",10/1/2022,371,13121004200
,"$193,493.67 ","201,020,112,012",11/1/2017,300,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,717.71 ","20,142,015,201,620,100,000",12/1/2019,101,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,140.62 ",2015,10/1/2017,101,13121008400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,051.70 ",2013,11/1/2015,101,13121006200
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$95,598.08 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,373,13121006200
,"$96,071.58 ","201,120,122,013,201,000,000,000",10/1/2018,373,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,216.59 ","201,420,152,016",2/1/2018,101,13121008400
,"$93,507.80 ","200,920,102,011,201,000,000,000",5/1/2016,373,13121006200
,"$51,053.36 ","200,820,092,010",5/1/2015,373,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$3,475.68 ","201,420,152,016",2/1/2018,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,620.61 ","2,010,201,120,122,010,000,000,000,000",12/1/2017,101,13121006200
FWR Holdings,"$13,424.52 ","200,520,062,007,200,000,000,000",2/1/2016,100,13121006200
"InVesta Services LLC Christina Trust as Custodian, InVesta Services of GA Christina Trust as Custodian","$5,396.14 ","2,011,201,220,132,010",6/1/2016,101,13121006200
,"$14,310.25 ","20,122,013",2/1/2016,300,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,017.80 ","201,120,122,013,201,000,000,000",10/1/2018,100,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,451.78 ","201,120,122,013,201,000,000,000",2/1/2018,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,283.31 ","2,013,201,420,152,010",5/1/2018,101,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,793.39 ","201,420,152,016",2/1/2018,101,13121006200
,"$284,140.65 ","20,122,013,201,420,100,000",12/1/2018,300,13121008400
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for  Granite Tax, LLC;InVesta Services of GA as custodian for Granite Tax, LLC","$2,587.86 ","20,122,013",4/1/2015,101,13121006200
,"$126,528.03 ","20,092,010",2/1/2016,300,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,151.49 ",2018,4/1/2021,100,13121010514
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$844.85 ,2018,6/1/2021,100,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,466.22 ","201,720,182,019",11/1/2020,100,13121007806
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$3,735.30 ","201,720,182,019",3/1/2021,100,13121007806
,"$24,387.39 ","2,012,201,320,142,010",3/1/2017,374,13121008400
DINKU PROPERTY DEVELOPMENT LLC,"$49,986.93 ",2018,4/1/2021,105,13121010515
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,024.92 ","201,520,192,021",9/1/2022,100,13121005502
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$988.06 ,"201,520,162,018",11/1/2019,100,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$16,167.53 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,102,13121002400
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX LLC","$19,032.42 ","2,012,201,320,142,010",8/1/2016,373,13121002500
1250 BROADWAY STE 1203,$689.98 ,2014,8/1/2021,100,13121007805
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$872.05 ,2018,9/1/2021,100,13121007802
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA AS NOMINEE FOR FULTON TAX CAPITAL IV, LC","$117,910.68 ","2,012,201,320,142,010",12/1/2016,105,13121010515
"Investa Services LLC Christiana Trust as Custodian; Investa services of GA as Nominee for Fulton Tax Capital IV, LLC","$4,062.50 ","201,220,132,014",6/1/2015,101,13121010515
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$11,194.26 ","20,102,011",11/1/2016,373,13121002500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$16,482.27 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,101,13121007802
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$583.21 ,2018,4/1/2021,100,13121007200
"INVESTA SERVICES OF GA AS NOMINEE FOR GSRAN, LLC",$523.71 ,2011,12/1/2017,106,13121010512
"INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX, LLC","$4,034.72 ","2,009,201,020,112,010",5/1/2017,106,13121010512
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$1,441.96 ","201,320,182,019",11/1/2020,106,13121010512
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC SUBSEQUENTLY TRANSFERRED TO GSRAN-Z, LLC; INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX, LLC; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$39,027.63 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,373,13121002500
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$9,602.42 ","201,120,122,013,201,000,000,000",9/1/2018,100,13121007002
"InVesta Services of GA as custodian for  Granite Tax, LLC","$7,144.80 ",2012,11/1/2015,373,13121002500
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,656.28 ","2,013,201,420,152,010",3/1/2018,101,13121007802
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$47,832.03 ","20,142,015",12/1/2017,389,13121010514
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,347.00 ",2018,2/1/2022,101,13121007802
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,215.22 ",2015,9/1/2022,101,13121007802
InVesta Services LLC Christina Trust as Custodian,"$1,622.18 ",2014,6/1/2016,100,13121010514
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,336.47 ",2018,12/1/2021,101,13121007802
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$2,602.98 ",2014,8/1/2021,101,13121010510
,"$5,884.58 ",2016,12/1/2018,374,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,924.28 ","2,012,201,320,142,010,000,000,000,000",9/1/2019,102,13121002300
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$7,813.51 ","2,015,201,620,172,010",8/1/2020,101,13121006700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,190.07 ","2,010,201,120,122,010,000,000,000,000",12/1/2017,100,13121002400
,"$55,316.48 ","2,010,201,120,122,010,000,000,000,000",8/1/2017,101,13121007802
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$21,853.47 ",2011,9/1/2016,370,13121010304
"TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$15,878.29 ","20,102,011",5/1/2016,374,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN;","$74,253.64 ","20,132,014,201,520,100,000",10/1/2019,370,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,442.88 ",2018,9/1/2021,320,13121010511
"INVESTA SERVICES OF GA AS NOMINEE FOR FULTON TAX CAPITAL IV, LC; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$57,092.68 ","2,012,201,320,142,010",5/1/2017,370,13121010304
,"$15,781.62 ","2,014,201,520,162,010,000,000,000,000",8/1/2021,101,13121010511
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$1,286.46 ",2014,8/1/2021,101,13121006700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,347.00 ",2018,2/1/2022,101,13121007802
,"$14,348.23 ","201,520,162,017,201,000,000,000",12/1/2021,101,13121010511
,"$14,320.71 ","201,520,162,017,201,000,000,000",5/1/2022,101,13121010511
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,359.42 ",2014,8/1/2020,101,13121005800
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$3,084.93 ",2011,10/1/2017,101,13121010514
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,604.25 ","201,320,142,015",3/1/2017,389,13121010304
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,459.88 ",2014,11/1/2020,101,13121005800
,"$14,892.49 ","201,520,162,017,201,000,000,000",5/1/2022,101,13121010511
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$2,110.64 ","20,132,014",3/1/2017,101,13121006700
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$2,052.73 ","20,132,015",12/1/2017,100,13121011503
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$18,271.64 ",2011,9/1/2018,370,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,745.54 ","2,010,201,120,122,010,000,000,000,000",12/1/2017,100,13121002400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$2,411.16 ","20,132,014",3/1/2020,101,13121006700
,"$2,785.03 ","20,092,010",3/1/2016,100,13121008400
,"$42,204.14 ","201,520,162,017,201,000,000,000",6/1/2022,100,13121011504
,"$19,406.15 ","2,013,201,420,152,010",2/1/2019,100,13121011504
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST.CUSTODIAN FOR GSRAN-Z,"$4,579.81 ","200,920,102,011,201,000,000,000",9/1/2016,100,13121008400
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHER TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$20,918.84 ",2011,9/1/2017,370,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$27,856.96 ","201,320,142,015",12/1/2016,369,13121010514
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN;  INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$120,478.43 ","2,013,201,420,152,010",12/1/2017,105,13121010515
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$6,552.31 ","2,009,201,020,112,010",5/1/2016,101,13121010513
Investa Services of GA Christiana Trust as Custodian,"$1,613.55 ","20,122,013",5/1/2015,107,13121010512
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$583.21 ,2018,4/1/2021,100,13121007200
DINKU PROPERTY DEVELOPMENT LLC,"$47,208.12 ",2018,9/1/2020,105,13121010515
,"$27,237.97 ","2,011,201,220,132,010",9/1/2018,300,13121010512
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,343.77 ",2012,10/1/2016,101,13121006700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,961.57 ","201,520,192,021",9/1/2022,106,13121010512
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$1,227.01 ","201,320,142,015",10/1/2016,106,13121010512
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,526.17 ","2,016,201,720,182,010",9/1/2022,106,13121010512
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,443.90 ",2018,11/1/2020,699,13121008400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,347.00 ",2018,2/1/2022,101,13121007802
"INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX, LLC; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,931.25 ","20,102,012,201,420,100,000",2/1/2018,106,13121010512
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,479.78 ","2,014,201,520,162,010",12/1/2019,101,13121010400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$28,828.51 ","20,152,016",12/1/2017,394,13121010510
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,480.47 ",2018,9/1/2021,100,13121005502
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$613.59 ,2018,4/1/2021,101,13121010515
,"$5,903.59 ","20,142,015",8/1/2016,373,13121010400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,765.13 ",2009,2/1/2017,106,13121010512
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for Granite Tax, LLC","$1,539.08 ","201,120,122,013",3/1/2015,106,13121010512
"INVESTA SERVICES, LLC AS SERVICER FOR CHRISTINA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTINA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN","$1,124.51 ","201,320,142,015",8/1/2016,106,13121010512
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$12,224.84 ","201,720,182,019",10/1/2020,699,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,808.92 ","2,010,201,120,122,010,000,000,000,000",12/1/2017,101,13121002400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$611.84 ,2018,2/1/2021,101,13121010515
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$681.69 ,2018,4/1/2021,100,13121010512
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$5,998.59 ",2013,5/1/2017,344,13121008400
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$14,164.16 ",2013,12/1/2015,344,13121008400
,"$6,239.59 ",2021,9/1/2022,100,13121010510
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,213.27 ",2018,4/1/2022,101,13121007802
"FIG Capital Investments, LLC","$2,804.93 ",2016,7/1/2018,300,13121010510
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$6,609.83 ","20,152,016,201,720,100,000",10/1/2020,100,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$6,924.78 ","20,152,016,201,720,100,000",2/1/2021,100,13121010304
"Plymouth Park Tax Services, LLC","$1,485.94 ",2008,2/1/2016,101,13121006700
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC  SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,826.79 ",2011,2/1/2019,100,13121010513
,"$36,432.29 ","2,010,201,120,122,010,000,000,000,000",10/1/2017,101,13121010510
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$47,826.61 ",2013,12/1/2015,398,13121007806
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$58,250.48 ","20,142,015",3/1/2017,398,13121007806
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$42,358.96 ","201,120,122,013,201,000,000,000",12/1/2018,101,13121010510
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$1,369.95 ",2014,6/1/2017,101,13121011100
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$1,461.32 ",2011,10/1/2017,101,13121006700
"Investa Services as nominee for Treidy, LLC;Vesta Holdings VI, LLC as nominee for Fulton Tax Capital, LLC","$122,055.04 ","200,820,092,012",4/1/2015,344,13121008400
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$1,541.16 ",2014,8/1/2019,101,13121011100
"INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX, LLC; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,132.24 ","2,012,201,420,152,010",2/1/2019,106,13121010512
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z, InVesta Services LLC Christina Trust as Custodian, InVesta Services of GA Christina Trust as Custodian","$1,512.76 ","20,112,012,201,320,100,000",6/1/2016,106,13121010512
"INVESTA SERVICES, LLC AS SERVICER FOR CHRISTINA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTINA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN","$1,022.94 ","2,012,201,320,142,010",8/1/2016,106,13121010512
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,065.40 ",2018,3/1/2021,101,13121010510
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$16,528.16 ","201,420,152,016",11/1/2019,373,13121002500
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,$781.58 ,2014,9/1/2021,106,13121010512
